area,total_rooms,bathrooms,garage_spaces,distance_to_center,floor,build_year,balcony,renovation_level,has_elevator,ceiling_height,district_rating,price
38,1,1,0,14.0,4,2005,1,1,1,2.6,5,7200000
45,1,1,0,11.5,8,2012,1,2,1,2.7,6,9100000
52,2,1,1,9.0,6,2016,1,2,1,2.7,7,11800000
58,2,1,1,8.2,10,2018,1,3,1,2.8,7,13900000
64,2,1,1,7.0,12,2020,2,3,1,2.9,8,16500000
70,3,1,1,8.5,7,2015,1,2,1,2.7,7,16200000
76,3,2,1,6.8,9,2017,2,3,1,2.8,8,19800000
82,3,2,1,5.5,11,2019,2,3,1,2.9,8,22600000
90,3,2,2,4.5,14,2021,2,4,1,3.0,9,28600000
96,4,2,2,5.2,15,2020,2,3,1,2.9,8,27900000
105,4,2,2,3.8,18,2022,2,4,1,3.0,9,35200000
118,4,3,2,3.0,20,2023,3,4,1,3.1,9,42500000
130,5,3,2,2.5,16,2021,3,4,1,3.1,10,49300000
142,5,3,2,2.0,22,2024,3,4,1,3.2,10,57500000
55,2,1,0,16.0,3,2008,1,1,1,2.6,5,9100000
62,2,1,0,18.0,5,2010,1,1,1,2.6,4,8900000
68,3,1,1,15.5,9,2013,1,2,1,2.7,5,12200000
74,3,1,1,13.0,11,2016,1,2,1,2.7,6,14600000
84,3,2,1,12.0,13,2018,2,2,1,2.8,6,17100000
92,4,2,1,10.0,8,2014,2,2,1,2.8,6,18400000
101,4,2,2,9.5,17,2019,2,3,1,2.9,7,23800000
112,4,2,2,8.0,19,2021,2,3,1,3.0,7,28600000
48,1,1,0,22.0,2,2001,0,0,0,2.5,3,5200000
57,2,1,0,24.0,6,2006,1,1,1,2.6,4,7200000
66,2,1,1,20.0,10,2011,1,1,1,2.6,4,9200000
73,3,1,1,19.0,7,2012,1,2,1,2.7,5,11100000
88,3,2,1,18.5,12,2017,2,2,1,2.8,5,14700000
99,4,2,1,17.0,14,2018,2,2,1,2.8,6,17400000
116,4,2,2,14.0,16,2020,2,3,1,2.9,6,24200000
128,5,3,2,12.0,21,2022,3,3,1,3.0,7,31800000
