accuracy,performanceScore,totalTime,averageReactionTime,incorrectAnswers,currentDifficulty,recentAvgAccuracy,recentAvgPerformance,trendScore,gamesOnCurrentLevel,recommendation
0.905,84.9,50.6,1.74,5,3,0.916,93.5,0.13,10,upgrade
0.184,42.4,180,3.42,20,4,0.22,37.7,-0.322,2,downgrade
0.919,86.8,90.8,2.05,4,6,0.892,87.8,0.156,7,upgrade
0.864,81.9,80.7,2.32,0,8,0.956,78.9,-0.039,1,maintain
0.606,51.1,98.1,2.73,6,3,0.612,57.9,0.159,6,maintain
0.71,59.3,114.1,2.59,9,7,0.704,45,0.02,10,maintain
0.646,67.2,112.8,2.83,6,6,0.669,69.8,-0.179,5,maintain
0.554,29.9,143.4,3.53,12,6,0.653,33.0,-0.247,2,downgrade
0.765,51.4,72.9,2.87,1,5,0.84,55.1,-0.057,3,maintain
0.603,72.3,72.0,1.93,6,1,0.713,51.6,0.117,2,maintain
0.923,93.6,56.9,1.6,4,4,0.885,89.6,0.185,10,upgrade
0.421,43.8,117.2,3.15,6,5,0.471,56.5,-0.035,5,downgrade
0.172,44.8,115.5,3.13,19,2,0.28,53.7,-0.018,6,downgrade
0.595,25.5,155.4,3.84,8,5,0.78,20.0,-0.234,3,downgrade
0.253,31.7,152.7,3.69,12,7,0.257,46.7,-0.407,2,downgrade
0.394,18.7,165.8,3.93,14,6,0.588,31.8,-0.146,5,downgrade
0.277,13.8,166.1,4.01,5,7,0.337,20.9,-0.029,7,downgrade
0.5,71.0,135.7,2.6,15,4,0.505,66.1,0.178,4,maintain
0.946,74.9,57.2,2.26,1,6,0.91,90.1,-0.09,4,upgrade
0.558,67.8,89.6,2.01,8,4,0.84,79.0,-0.074,5,maintain
0.199,40.2,109.2,3.29,7,8,0.132,48.5,-0.044,5,downgrade
0.327,28.2,175.8,3.37,18,6,0.314,17.6,-0.217,6,downgrade
0.753,72.6,84.0,2.2,2,4,0.866,88.6,0.079,2,maintain
0.91,78.5,48.3,2.24,2,1,0.893,80.8,0.305,6,upgrade
0.676,57.5,92.4,3.02,4,8,0.621,53.5,-0.105,8,maintain
0.498,36.1,110.8,3.45,12,6,0.686,43.7,0.06,2,downgrade
0.844,99.3,84.6,2.1,0,7,0.887,79.2,0.092,9,upgrade
0.417,23.7,156.4,3.92,7,7,0.459,29.8,-0.142,5,downgrade
0.865,83.3,55.8,1.96,6,3,0.892,84.2,0.019,1,maintain
0.964,89.9,63.5,1.94,0,3,0.929,82.8,0.089,7,upgrade
0.407,43.7,139.0,3.14,8,2,0.505,31.1,-0.019,6,downgrade
